ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento;Custo_aquisicao;Custo_reparos;Lucro;Data_entrada_estoque;Dias_estoque;Vendedor;Origem_lead;NPS_cliente;Status_pagamento
3881;Maria Luiza Borges;26;179.835.264-82;Feminino;Divorciado;marquessara@example.com;(061) 7343-3452;Araújo;AC;Fiat;500e;2021;Branco;190849,82;2024-09-13;Financiamento;167791,96;662,25;22395,610000000015;2023-08-13;397;Alexia Cavalcanti;Indicação;6;Em Atraso
3882;Ana Lívia Pereira;56;718.342.059-05;Feminino;Viúvo;bnogueira@example.org;(061) 6250 3603;Moura de Machado;DF;Citroen;Aircross;2021;Cinza;127095,81;2024-06-28;Leasing;96114,71;4078,24;26902,859999999993;2023-04-25;430;Dr. Renan Jesus;Outros;8;Cancelado
3883;Asafe Machado;58;597.840.261-20;Masculino;Viúvo;livia57@example.org;+55 (071) 2693 0636;Melo de Goiás;AL;Chevrolet;Prisma;2022;Verde;75996,66;2024-10-13;Financiamento;65116,2;3689,93;7190,530000000006;2023-12-13;305;Dr. Renan Jesus;Indicação;6;Cancelado
3884;Francisco Ribeiro;35;715.609.843-84;Masculino;Casado;zoe88@example.com;(031) 8429-8446;Lopes;MG;Honda;Civic;2023;Prata;115228,83;2024-06-12;À vista;94019,42;5960,89;15248,520000000004;2024-03-03;101;Alexia Cavalcanti;Feira;8;Pago
3885;Brayan Martins;46;367.284.150-17;Masculino;Viúvo;davi-miguel46@example.org;+55 31 6365 4434;Pastor;AC;Toyota;Hilux;2013;Branco;101278,67;2024-06-24;Financiamento;76390,21;4624,33;20264,12999999999;2024-01-07;169;Luna Lima;Outros;2;Pago
3886;Gabriela Câmara;20;946.082.517-67;Feminino;Viúvo;pintocaleb@example.com;0800 836 8124;Cavalcante Alegre;PA;Ford;Focus;2017;Vermelho;87648,2;2024-08-11;À vista;73566,73;2752,5;11328,970000000001;2024-08-09;2;Dr. Renan Jesus;Feira;2;Pago
3887;Bruno Ferreira;45;483.216.795-28;Masculino;Casado;beniciomendes@example.org;+55 (031) 1063 4394;Gonçalves de Gomes;RJ;Ford;Ecosport;2023;Branco;214571,11;2024-07-30;À vista;151068,41;0,0;63502,69999999998;2023-05-03;454;Davi Lucca Novaes;Busca Direta;7;Pago
3888;Benjamim Ribeiro;20;948.013.526-42;Masculino;Viúvo;luarada-cunha@example.net;(081) 8992 7139;Cavalcante;SP;Chevrolet;Onix;2022;Cinza;192819,78;2024-12-04;Leasing;149282,33;7910,52;35626,93000000001;2024-04-01;247;Emilly Gonçalves;Busca Direta;3;Cancelado
3889;Anthony Duarte;25;705.632.849-00;Masculino;Divorciado;jesushenry@example.com;+55 (031) 6927-7384;Macedo das Flores;RN;Jeep;Wrangler;2014;Branco;158576,85;2024-11-07;À vista;114511,19;1480,06;42585,600000000006;2023-08-01;464;Emilly Gonçalves;Indicação;3;Pago
3890;Henry Rios;53;547.163.892-19;Masculino;Casado;bpacheco@example.org;0900-857-0596;da Mata do Norte;DF;Citroen;C3;2022;Azul;206345,25;2024-10-03;Financiamento;170592,42;1862,82;33890,00999999999;2023-07-26;435;Dr. Renan Jesus;Feira;7;Cancelado
3891;Antonella da Cunha;20;472.031.856-80;Feminino;Divorciado;ninada-cunha@example.net;31 3535-3109;Cirino;PB;Fiat;Fiorino;2018;Cinza;145075,72;2024-07-22;Financiamento;123863,91;0,0;21211,809999999998;2023-10-22;274;Sra. Emanuelly da Cunha;Outros;6;Pago
3892;Liam Pacheco;51;506.273.914-43;Masculino;Solteiro;gabriela24@example.org;+55 61 3664 3599;Correia;RR;Ford;Ka Sedan;2021;Azul;212302,02;2025-01-28;À vista;186228,02;0,0;26074,0;2024-04-18;285;Davi Lucca Novaes;Redes Sociais;4;Pago
3893;Sara Pastor;36;081.635.729-30;Feminino;Divorciado;asafe17@example.com;51 5971 6037;Albuquerque;PB;Hyundai;HB20S;2023;Prata;113684,62;2025-02-22;Leasing;81441,04;4316,77;27926,81;2025-01-11;42;Ian Pereira;Site;5;Em Atraso
3894;Rodrigo Souza;41;673.824.519-09;Masculino;Divorciado;melinabrito@example.org;31 8342-2501;Macedo de Jesus;SE;Fiat;Cronos;2022;Vermelho;208181,95;2024-08-15;À vista;148745,55;9332,51;50103,89000000002;2024-08-10;5;Emilly Gonçalves;Indicação;6;Pago
3895;Allana Cassiano;62;691.384.752-19;Feminino;Casado;rhavi25@example.org;(084) 2417-0165;Barbosa;BA;Citroen;C3;2013;Vermelho;181747,78;2025-01-08;Financiamento;138227,99;689,78;42830,01000000001;2023-08-27;500;Paulo Castro;Indicação;5;Em Atraso
3896;Melina Novaes;34;748.261.950-01;Feminino;Casado;maysa72@example.net;+55 11 8974-0384;Sampaio;AP;Citroen;C4 Grand Picasso;2014;Vermelho;129967,75;2024-10-23;Leasing;97809,96;0,0;32157,789999999994;2023-07-05;476;Dr. Renan Jesus;Redes Sociais;5;Em Atraso
3897;Ana Vitória Jesus;27;694.738.152-55;Feminino;Solteiro;melogustavo@example.org;81 4457 0194;Almeida;RJ;Citroen;C3;2013;Vermelho;200699,12;2025-01-07;À vista;154128,98;1851,72;44718,419999999984;2024-04-26;256;Luana Santos;Site;4;Pago
3898;Jade Martins;64;945.306.782-29;Feminino;Casado;luiz-miguel88@example.org;+55 51 8698 0286;Castro de Costa;DF;Peugeot;308;2021;Preto;245763,04;2024-11-21;Leasing;215163,52;5316,45;25283,070000000018;2024-09-26;56;Luna Lima;Busca Direta;9;Em Atraso
3899;Bento Borges;59;901.753.428-14;Masculino;Divorciado;vitor17@example.org;(081) 1257-6262;Lopes da Prata;CE;Peugeot;308;2015;Branco;213693,38;2024-09-15;Leasing;165340,31;7285,23;41067,84000000001;2023-08-12;400;Sra. Emanuelly da Cunha;Outros;3;Pago
3900;Dom Brito;30;198.635.420-24;Masculino;Casado;cavalcantemarcos-vinicius@example.net;81 6459-5180;Dias de Camargo;PB;Ford;Focus;2021;Branco;164321,42;2025-02-20;À vista;142866,59;0,0;21454,830000000016;2024-09-19;154;Sra. Emanuelly da Cunha;Outros;5;Pago
3901;Bianca da Conceição;30;821.597.436-82;Feminino;Divorciado;vasconcelosmaria-vitoria@example.net;11 1817 7889;Nogueira;BA;Citroen;C4 Grand Picasso;2016;Azul;109781,33;2024-12-09;Financiamento;86751,91;5829,04;17200,379999999997;2023-08-22;475;Emilly Gonçalves;Feira;6;Em Atraso
3902;Vitor Gabriel Camargo;40;823.601.945-42;Masculino;Divorciado;fariaspaulo@example.com;0800 566 8556;Araújo;PA;Citroen;Basalt;2014;Branco;116589,34;2025-02-03;Financiamento;100011,03;8495,43;8082,879999999997;2023-09-09;513;Davi Lucca Novaes;Indicação;2;Pago
3903;Sophie Silveira;54;218.057.469-01;Feminino;Viúvo;antoniojesus@example.com;(061) 1344-2918;Pinto;RO;Citroen;C4 Grand Picasso;2018;Azul;216411,62;2024-06-25;Leasing;168412,58;3714,83;44284,21000000001;2023-09-13;286;Luna Lima;Outros;2;Em Atraso
3904;Giovanna da Conceição;46;124.805.697-30;Feminino;Viúvo;henry-gabriel24@example.org;+55 81 5711-7185;Novais de Alves;PB;Peugeot;3008;2015;Cinza;30748,83;2024-12-17;À vista;24109,37;8834,51;-2195,0499999999975;2023-08-19;486;Luna Lima;Indicação;8;Pago
3905;Antonella Moreira;68;832.159.670-30;Feminino;Solteiro;silvabento@example.org;0500 673 0326;Araújo;BA;Fiat;Toro;2018;Branco;137485,84;2025-02-10;Financiamento;112252,09;1047,38;24186,37;2024-10-03;130;Ian Pereira;Site;4;Cancelado
3906;Sofia Sousa;62;637.940.852-56;Feminino;Viúvo;oliviaabreu@example.org;+55 41 4012 0097;Pinto do Galho;RR;Citroen;C4 Grand Picasso;2020;Branco;92954,83;2024-09-26;Financiamento;74389,82;0,0;18565,009999999995;2024-09-08;18;Dr. Renan Jesus;Indicação;9;Pago
3907;Antony Carvalho;58;019.462.735-70;Masculino;Viúvo;hda-cunha@example.net;+55 84 9431 2950;Rezende de Aragão;PB;Ford;Ka Sedan;2018;Vermelho;217285,24;2024-09-12;Financiamento;183488,61;8747,06;25049,570000000007;2024-06-28;76;Sara Pinto;Indicação;7;Cancelado
3908;Lunna Vasconcelos;33;895.746.132-91;Feminino;Casado;da-pazrafael@example.org;+55 71 6012-3427;Fonseca;PE;Fiat;Argo;2021;Cinza;201734,51;2024-11-10;À vista;158870,6;0,0;42863,91;2023-08-06;462;Paulo Castro;Redes Sociais;6;Pago
3909;Bento Vieira;66;974.386.205-65;Masculino;Solteiro;hpeixoto@example.com;+55 (061) 4419 6370;Cardoso;SP;Ford;Ka Sedan;2015;Preto;92498,58;2025-02-28;À vista;76704,66;4296,18;11497,739999999998;2024-11-14;106;Davi Lucca Novaes;Outros;1;Pago
3910;Antony Pires;66;392.670.485-38;Masculino;Divorciado;nataliasampaio@example.com;(041) 8681-4749;Silveira;SC;Volskwagen;Amarok;2020;Cinza;243062,52;2024-08-14;À vista;194016,48;2620,73;46425,309999999976;2024-04-21;115;Sra. Emanuelly da Cunha;Site;1;Pago
3911;Marcos Vinicius Macedo;18;162.780.439-04;Masculino;Viúvo;tsantos@example.com;+55 (081) 6679-7532;Cassiano Grande;AL;Jeep;Cherokee;2023;Prata;92374,74;2024-10-11;Consórcio;67177,68;0,0;25197,060000000012;2023-11-05;341;Davi Lucca Novaes;Site;4;Pago
3912;Joaquim Machado;55;532.840.971-04;Masculino;Divorciado;jesusstephany@example.net;0900 675 6455;Camargo;PR;Ford;Ecosport;2014;Verde;151245,61;2025-02-20;Leasing;122879,59;3991,65;24374,369999999988;2023-12-02;446;Emilly Gonçalves;Outros;1;Pago
3913;Isabela da Cruz;46;146.307.598-75;Feminino;Divorciado;jmarques@example.net;+55 (051) 9458-1694;Rezende Grande;MT;Ford;Ranger;2015;Vermelho;100503,28;2025-03-14;À vista;88084,07;0,0;12419,209999999992;2024-02-29;379;Ian Pereira;Site;10;Pago
3914;Diego Castro;59;825.364.079-00;Masculino;Divorciado;rezendeheitor@example.com;21 2109 6100;Jesus;RJ;Peugeot;2008;2015;Branco;150445,36;2025-01-05;Leasing;132744,32;2671,99;15029,04999999998;2024-07-11;178;Luna Lima;Outros;3;Cancelado
3915;Ana Luiza Rocha;64;750.931.264-70;Feminino;Casado;gsilva@example.com;+55 (084) 1205 9723;da Cunha de Pastor;PR;Chevrolet;Onix;2017;Branco;231041,76;2024-04-22;À vista;191853,42;7960,42;31227,92;2023-08-11;255;Dr. Renan Jesus;Feira;5;Pago
3916;Anna Liz Pimenta;20;581.426.793-37;Feminino;Solteiro;bcasa-grande@example.org;+55 (021) 0229-4054;Cavalcante;AC;Honda;City;2018;Azul;68975,3;2024-06-12;Leasing;60316,04;6833,7;1825,5600000000022;2023-10-01;255;Luna Lima;Busca Direta;6;Pago
3917;Gael Mendes;59;084.615.293-24;Masculino;Solteiro;aragaohadassa@example.org;+55 (061) 8045 5520;Monteiro;BA;Ford;Focus;2021;Vermelho;78060,71;2024-07-19;Financiamento;69285,01;9239,47;-463,7699999999877;2023-10-01;292;Luana Santos;Site;9;Cancelado
3918;Júlia Moura;55;982.176.534-37;Feminino;Solteiro;qmachado@example.org;0500 771 0466;Moura;PA;Ford;Territory;2022;Verde;173201,34;2024-07-28;À vista;131317,81;3918,86;37964,67;2024-04-20;99;Dr. Renan Jesus;Redes Sociais;7;Pago
3919;Carlos Eduardo Costa;36;107.962.834-78;Masculino;Casado;da-pazeduarda@example.net;+55 (061) 6931 2681;Almeida do Galho;GO;Volskwagen;Up;2018;Verde;202279,97;2025-03-28;Financiamento;161466,59;6974,81;33838,57000000001;2024-03-11;382;Alexia Cavalcanti;Indicação;7;Em Atraso
3920;Ana Beatriz Alves;40;415.308.726-26;Feminino;Viúvo;smontenegro@example.com;+55 (021) 5869-4039;Abreu Verde;RS;Ford;Territory;2022;Cinza;182420,85;2025-02-15;Financiamento;158234,12;1078,27;23108,46000000001;2023-08-20;545;Alexia Cavalcanti;Outros;9;Cancelado
3921;Luiz Miguel Cirino;47;104.786.239-50;Masculino;Divorciado;limamaria-luiza@example.net;(031) 5101-1867;Mendes de Abreu;CE;Citroen;Aircross;2022;Cinza;166309,53;2025-03-23;Financiamento;126023,07;9322,24;30964,219999999994;2024-05-23;304;Ian Pereira;Indicação;3;Cancelado
3922;Juan Araújo;37;856.932.740-47;Masculino;Viúvo;mathias45@example.net;+55 71 3539-0136;da Mota do Galho;PI;Jeep;Compass;2019;Vermelho;232637,97;2024-07-25;Financiamento;184639,4;8768,32;39230,25000000001;2024-05-13;73;Davi Lucca Novaes;Site;10;Em Atraso
3923;Gabriel Alves;34;195.486.027-76;Masculino;Divorciado;gabriel14@example.org;+55 21 8803-1417;Rios da Praia;PB;Peugeot;208;2020;Cinza;176878,18;2024-06-18;À vista;142981,0;0,0;33897,17999999999;2023-07-12;342;Sra. Emanuelly da Cunha;Busca Direta;6;Pago
3924;Renan Martins;61;952.436.871-46;Masculino;Solteiro;salesana-carolina@example.com;0300-549-0764;Casa Grande;AC;Ford;Ranger;2022;Branco;199358,98;2025-01-03;Leasing;150070,3;0,0;49288,68000000002;2024-01-10;359;Emilly Gonçalves;Indicação;2;Cancelado
3925;Murilo Novaes;48;041.962.837-13;Masculino;Casado;ferreirastephany@example.net;+55 (084) 3649 9764;Albuquerque;PA;Citroen;C3;2021;Vermelho;167513,6;2024-12-13;Financiamento;150312,81;8648,66;8552,130000000008;2023-09-30;440;Alexia Cavalcanti;Busca Direta;6;Em Atraso
3926;Isabelly Sá;25;648.910.732-50;Feminino;Divorciado;ribeirolucas@example.net;81 1942-4713;Cavalcante de Minas;SP;Chevrolet;Prisma;2016;Branco;165415,41;2024-09-08;À vista;130744,42;3153,35;31517,640000000007;2024-01-02;250;Davi Lucca Novaes;Indicação;4;Pago
3927;Maitê Silva;46;470.125.698-67;Feminino;Casado;santoslorena@example.com;84 0118 1650;Cardoso Verde;SE;Honda;Civic;2015;Vermelho;42651,33;2025-03-21;À vista;37105,73;935,74;4609,859999999999;2024-05-04;321;Dr. Renan Jesus;Site;10;Pago
3928;Henry Gabriel Macedo;20;963.802.571-95;Masculino;Casado;maria-ceciliavieira@example.org;84 3012-5821;Silveira;MT;Citroen;Aircross;2023;Vermelho;116715,18;2024-12-12;Leasing;88269,22;0,0;28445,959999999992;2024-03-31;256;Luna Lima;Busca Direta;2;Em Atraso
3929;Eduardo Andrade;37;371.052.896-86;Masculino;Casado;ccardoso@example.net;81 2720-4164;Jesus das Flores;PE;Volskwagen;Gol;2021;Vermelho;148627,0;2024-09-23;Leasing;114869,6;9467,32;24290,079999999994;2024-04-01;175;Alexia Cavalcanti;Redes Sociais;7;Cancelado
3930;Felipe Macedo;59;380.164.572-07;Masculino;Viúvo;da-motapedro@example.org;+55 61 1977 1749;Lopes;CE;Fiat;Mobi;2014;Prata;216310,26;2024-05-17;Leasing;184737,99;2919,53;28652,74000000002;2023-07-09;313;Paulo Castro;Indicação;3;Pago
3931;Lavínia Sampaio;55;930.562.874-56;Feminino;Solteiro;novaesantonella@example.org;0500-544-5390;Ribeiro;AM;Peugeot;3008;2016;Vermelho;199608,92;2024-05-28;Financiamento;163828,52;7117,83;28662,57000000002;2024-05-03;25;Dr. Renan Jesus;Busca Direta;9;Pago
3932;Gael Guerra;45;234.081.795-14;Masculino;Solteiro;nda-conceicao@example.net;+55 (051) 7101-0754;Sousa;AC;Chevrolet;Prisma;2020;Verde;236778,89;2025-03-16;Leasing;187496,86;3181,63;46100,40000000003;2025-03-04;12;Sara Pinto;Site;10;Pago
3933;Cecília Farias;48;306.872.195-40;Feminino;Divorciado;benjamincirino@example.org;+55 84 9760-4072;Azevedo do Galho;MS;Volskwagen;Nivus;2023;Cinza;45584,19;2024-09-01;Leasing;33446,59;0,0;12137,600000000006;2024-07-31;32;Emilly Gonçalves;Outros;8;Pago
3934;Aylla da Mata;41;396.758.241-82;Feminino;Viúvo;ottomachado@example.org;+55 (061) 1409-1741;Araújo de Fogaça;DF;Ford;Ka Sedan;2022;Verde;83417,21;2024-07-07;Leasing;65810,99;1211,74;16394,48;2024-05-06;62;Luana Santos;Site;6;Pago
3935;Guilherme Jesus;28;586.309.724-83;Masculino;Solteiro;maria-luisacasa-grande@example.net;+55 31 7080 5724;Guerra;AM;Fiat;Toro;2020;Vermelho;93513,24;2025-02-05;À vista;76300,31;0,0;17212,930000000008;2024-05-28;253;Luna Lima;Indicação;5;Pago
3936;Francisco Pires;23;207.639.584-92;Masculino;Divorciado;benjamimgomes@example.org;+55 81 0312 9617;Cirino;RJ;Toyota;Etios;2021;Cinza;199072,82;2024-05-09;À vista;172409,96;2163,97;24498,890000000014;2023-09-04;248;Paulo Castro;Site;3;Pago
3937;Ayla Borges;50;234.968.057-65;Feminino;Divorciado;benjamimpinto@example.net;+55 84 3609 2731;Siqueira Alegre;CE;Citroen;C3;2015;Cinza;194934,68;2024-09-03;À vista;148976,53;3040,55;42917,59999999999;2024-07-17;48;Ian Pereira;Redes Sociais;3;Pago
3938;Arthur Lima;51;041.276.358-35;Masculino;Casado;freitasana-laura@example.org;41 1553-9527;Teixeira;AC;Fiat;Fiorino;2019;Cinza;138192,92;2024-06-11;Leasing;97150,16;7038,74;34004,02000000001;2024-03-14;89;Paulo Castro;Feira;4;Cancelado
3939;Apollo Marques;69;719.034.268-04;Masculino;Casado;emanuelpastor@example.com;+55 81 9228-5812;da Costa;SE;Volskwagen;Voyage;2013;Vermelho;199504,26;2024-10-01;À vista;168459,59;9306,88;21737,790000000015;2023-07-10;449;Dr. Renan Jesus;Redes Sociais;9;Pago
3940;Ana Luiza Barbosa;57;590.861.374-66;Feminino;Viúvo;danilocamargo@example.net;+55 81 8325 3111;Martins Grande;MS;Peugeot;Partner;2022;Verde;106667,02;2025-03-28;À vista;76920,62;0,0;29746,40000000001;2023-08-30;576;Luna Lima;Redes Sociais;8;Pago
3941;Alícia Borges;33;983.612.547-73;Feminino;Solteiro;lcavalcante@example.net;0800-076-7430;Rezende de Minas;AL;Ford;Focus;2022;Verde;71954,58;2025-04-02;À vista;60407,7;4771,29;6775,590000000005;2023-05-10;693;Sra. Emanuelly da Cunha;Redes Sociais;10;Pago
3942;Alexandre da Cunha;27;395.682.704-00;Masculino;Viúvo;peixotoyago@example.com;(021) 0456-0478;Caldeira do Norte;MA;Ford;Ka;2017;Verde;188252,59;2024-10-16;Financiamento;146602,13;4320,02;37330,43999999999;2023-08-31;412;Sra. Emanuelly da Cunha;Feira;1;Pago
3943;Bruno Fogaça;23;432.570.961-43;Masculino;Solteiro;moraesjuliana@example.net;0300 339 3076;Rodrigues do Sul;BA;Jeep;Compass;2023;Cinza;114611,49;2024-06-08;Financiamento;99655,51;2859,89;12096,090000000011;2024-05-17;22;Davi Lucca Novaes;Feira;1;Em Atraso
3944;Laís das Neves;37;865.243.071-35;Feminino;Viúvo;brayan64@example.org;0900-010-9109;Farias;SP;Peugeot;308;2020;Branco;165109,06;2025-03-10;Financiamento;134052,48;6784,45;24272,129999999986;2024-02-04;400;Ian Pereira;Indicação;2;Cancelado
3945;Maitê Pereira;70;312.906.748-50;Feminino;Viúvo;isismachado@example.com;+55 11 0861-3293;Ferreira;AL;Peugeot;208;2023;Vermelho;166695,36;2024-07-16;Financiamento;125897,55;0,0;40797,80999999998;2023-12-30;199;Paulo Castro;Indicação;3;Em Atraso
3946;Emanuella Viana;19;950.428.376-47;Feminino;Solteiro;salesmariah@example.org;(041) 4208 6579;Melo Verde;MS;Honda;CR-V;2020;Preto;127473,99;2024-11-18;À vista;112668,01;2791,81;12014,170000000011;2024-03-30;233;Davi Lucca Novaes;Feira;2;Pago
3947;Manuella Fogaça;28;184.796.305-66;Feminino;Casado;maria-clara33@example.net;+55 (084) 2915-4356;da Luz;AC;Citroen;Aircross;2022;Verde;109193,39;2024-11-29;À vista;88116,96;0,0;21076,429999999993;2024-02-17;286;Alexia Cavalcanti;Busca Direta;4;Pago
3948;Gabriel Novaes;43;730.546.981-57;Masculino;Casado;valentinaandrade@example.org;61 3982-5289;Souza;AC;Hyundai;HB20S;2018;Vermelho;214128,04;2025-01-19;À vista;165009,18;2326,93;46791,930000000015;2024-07-07;196;Luna Lima;Feira;2;Pago
3949;José Miguel Caldeira;28;263.157.498-28;Masculino;Casado;joao-pedro74@example.net;41 5522 2125;Porto Alegre;MG;Ford;Territory;2018;Branco;58930,65;2024-05-01;Financiamento;45076,8;0,0;13853,849999999999;2024-02-16;75;Emilly Gonçalves;Redes Sociais;4;Pago
3950;Lucas Gabriel da Mota;59;146.025.893-24;Masculino;Solteiro;marquesmaria-clara@example.org;+55 51 0722 7911;Jesus;DF;Fiat;Argo;2018;Cinza;36496,11;2024-05-15;Financiamento;32656,26;2848,7;991,1500000000024;2023-08-17;272;Luana Santos;Outros;4;Em Atraso
3951;Natália Costela;32;943.172.086-87;Feminino;Viúvo;samuel56@example.com;(084) 8849-5980;Souza do Amparo;PI;Volskwagen;Amarok;2014;Vermelho;102957,56;2024-05-28;Leasing;89992,46;0,0;12965,099999999991;2023-10-20;221;Paulo Castro;Outros;1;Pago
3952;Beatriz Vieira;49;067.289.513-77;Feminino;Casado;valentina18@example.org;+55 (041) 1793 6989;Andrade dos Dourados;PI;Peugeot;2008;2014;Cinza;202019,13;2024-09-07;Financiamento;146929,8;9672,18;45417,150000000016;2024-08-20;18;Dr. Renan Jesus;Outros;10;Cancelado
3953;Pietra Ramos;51;490.815.732-41;Feminino;Solteiro;juliasantos@example.net;61 4219-3009;Costela;AC;Volskwagen;Up;2020;Branco;33559,25;2024-09-22;À vista;23568,87;0,0;9990,380000000001;2024-08-06;47;Luna Lima;Outros;5;Pago
3954;Liam Moraes;34;926.847.531-64;Masculino;Solteiro;benjamin71@example.org;71 2556-9591;Cardoso do Sul;CE;Citroen;C3;2020;Branco;75422,09;2024-07-18;À vista;57338,05;7909,86;10174,179999999993;2023-11-30;231;Dr. Renan Jesus;Redes Sociais;2;Pago
3955;Lucas Dias;34;579.834.061-93;Masculino;Divorciado;correialuara@example.net;+55 21 0161-4368;Aragão;RR;Honda;HR-V;2013;Prata;138231,3;2024-05-03;À vista;122922,84;2683,38;12625,07999999999;2023-10-14;202;Paulo Castro;Site;10;Pago
3956;Maria Marques;22;364.152.780-53;Feminino;Solteiro;cardosoelisa@example.org;0300-270-7215;Lima;MS;Fiat;Fiorino;2023;Vermelho;98877,2;2025-01-12;Financiamento;75739,2;2503,55;20634,45;2023-12-19;390;Ian Pereira;Busca Direta;7;Em Atraso
3957;João Guilherme Leão;64;750.423.681-08;Masculino;Casado;jgomes@example.net;+55 41 4210-4897;Duarte do Norte;SC;Fiat;Cronos;2015;Cinza;35054,46;2024-12-05;Leasing;28226,24;5335,53;1492,6899999999978;2024-07-11;147;Emilly Gonçalves;Indicação;5;Cancelado
3958;Fernanda Viana;69;052.673.149-43;Feminino;Solteiro;nathanbrito@example.org;(084) 3338-4599;Marques;CE;Peugeot;3008;2015;Branco;178094,72;2024-07-24;Financiamento;154956,96;0,0;23137,76000000001;2023-05-24;427;Sra. Emanuelly da Cunha;Redes Sociais;5;Pago
3959;Olivia Nunes;51;980.427.153-23;Feminino;Viúvo;sadaniela@example.com;11 6394-7331;Marques;PR;Citroen;C4 Grand Picasso;2016;Vermelho;77787,9;2024-12-26;À vista;55578,48;0,0;22209,41999999999;2024-03-08;293;Sra. Emanuelly da Cunha;Feira;7;Pago
3960;Eloah Cassiano;38;651.493.087-57;Feminino;Casado;yagopinto@example.org;(031) 5641-1125;Nogueira dos Dourados;MA;Citroen;Basalt;2014;Vermelho;227839,41;2025-02-02;À vista;204691,67;0,0;23147,73999999999;2024-03-30;309;Sara Pinto;Redes Sociais;3;Pago
3961;Maysa Barbosa;27;621.309.875-59;Feminino;Viúvo;yabreu@example.org;0300 427 4956;Melo;RR;Ford;Ecosport;2014;Cinza;32824,05;2024-10-08;Leasing;24672,12;4080,18;4071,750000000004;2024-04-28;163;Alexia Cavalcanti;Outros;2;Cancelado
3962;Ana Marques;66;902.753.481-05;Feminino;Casado;benicioda-rosa@example.com;+55 (021) 9765 2410;Cunha;RJ;Hyundai;Creta;2016;Vermelho;77900,43;2024-09-21;À vista;63331,4;9725,66;4843,369999999992;2023-09-15;372;Dr. Renan Jesus;Feira;4;Pago
3963;Ravi Sousa;38;468.923.517-19;Masculino;Divorciado;ceciliaborges@example.org;+55 (061) 1220 9882;Albuquerque;RN;Hyundai;HB20S;2019;Vermelho;77992,98;2024-08-15;Financiamento;58076,12;0,0;19916,859999999993;2023-12-29;230;Emilly Gonçalves;Outros;1;Em Atraso
3964;Luiz Felipe Câmara;64;354.168.709-66;Masculino;Solteiro;eloa54@example.com;71 3819-8931;Rodrigues do Norte;AM;Volskwagen;Voyage;2022;Cinza;230361,12;2024-05-03;À vista;185296,08;0,0;45065,04000000001;2023-12-22;133;Davi Lucca Novaes;Outros;5;Pago
3965;João Felipe da Cunha;46;023.875.641-62;Masculino;Casado;pda-rocha@example.org;(041) 1575 7555;Barbosa;PR;Volskwagen;Virtus;2015;Prata;89171,53;2025-01-12;À vista;63080,1;4480,56;21610,87;2023-08-07;524;Dr. Renan Jesus;Feira;4;Pago
3966;Lavínia Pimenta;34;936.178.540-01;Feminino;Viúvo;pereiramaria-fernanda@example.com;+55 (031) 2020 3683;Cunha do Oeste;RO;Volskwagen;Amarok;2020;Cinza;48705,72;2025-04-15;Financiamento;38808,56;6598,03;3299,1300000000037;2024-11-15;151;Ian Pereira;Outros;8;Cancelado
3967;Maria Helena Rodrigues;51;945.127.608-49;Feminino;Casado;duartebarbara@example.com;31 4377-6840;Andrade;SP;Fiat;Fastback;2017;Vermelho;94631,61;2025-01-16;À vista;70418,28;6295,96;17917,370000000003;2023-08-18;517;Emilly Gonçalves;Outros;5;Pago
3968;Isaque Santos;36;506.234.719-06;Masculino;Casado;portohelena@example.net;31 0603-2732;Sá do Norte;AM;Chevrolet;Tracker;2017;Azul;230288,52;2024-05-31;Financiamento;162909,83;0,0;67378,69;2023-11-26;187;Luna Lima;Feira;3;Em Atraso
3969;Samuel da Mata;22;297.834.105-04;Masculino;Casado;isis17@example.org;+55 (011) 2232-9573;Santos;PE;Hyundai;HB20;2016;Cinza;35817,75;2024-12-25;Financiamento;29050,56;3956,56;2810,6299999999987;2023-12-14;377;Luana Santos;Busca Direta;9;Cancelado
3970;Emilly Casa Grande;25;645.127.093-80;Feminino;Viúvo;ribeiropietra@example.org;+55 61 1526-3417;Albuquerque;AP;Toyota;Yaris;2014;Vermelho;242007,0;2024-12-26;Financiamento;179679,74;1994,0;60333,26000000001;2023-06-15;560;Paulo Castro;Busca Direta;7;Em Atraso
3971;Maria Julia Barbosa;56;430.821.679-69;Feminino;Solteiro;josuemacedo@example.com;84 7441 6779;Jesus do Amparo;PA;Hyundai;HB20;2022;Azul;203799,41;2024-12-27;À vista;160189,77;939,14;42670,500000000015;2024-12-26;1;Luana Santos;Feira;1;Pago
3972;Stephany Marques;49;176.235.409-80;Feminino;Divorciado;isabelafernandes@example.org;(061) 5431 4537;Moraes;PI;Ford;Ka;2013;Branco;182394,25;2024-05-12;Financiamento;155423,79;7541,69;19428,769999999993;2023-09-30;225;Luna Lima;Feira;3;Em Atraso
3973;Sophie Peixoto;49;048.326.915-89;Feminino;Solteiro;laviniacorreia@example.net;+55 (081) 6880 3055;Carvalho da Mata;AC;Volskwagen;Polo;2023;Branco;93902,13;2024-08-20;Financiamento;71502,69;0,0;22399,440000000002;2023-09-20;335;Ian Pereira;Redes Sociais;6;Pago
